Species,TreeName,Lat,Long
A_grandidieri,AdBefa_05,-22.0501666666667,43.8835
A_grandidieri,AdBefa_06,-22.0796333333333,43.8963
A_grandidieri,AdBefa_07,-22.0752333333333,43.8919
A_grandidieri,AdBefa_08,-22.0567666666667,43.8901
A_grandidieri,AdBefa_09,-22.0609666666667,43.8943
A_grandidieri,AdBefa_10,-22.0608666666667,43.8942
A_grandidieri,AdBefa_100,-22.0665,43.8901
A_grandidieri,AdBefa_101,-22.0602,43.867
A_grandidieri,AdBefa_102,-22.0596,43.8835
A_grandidieri,AdBefa_103,-22.1239,43.89626667
A_grandidieri,AdBefa_11,-22.0771333333333,43.8938
A_grandidieri,AdBefa_12,-22.0672333333333,43.8839
A_grandidieri,AdBefa_13,-22.0589,43.8897
A_grandidieri,AdBefa_14,-22.0616,43.8871
A_grandidieri,AdBefa_15,-22.0599,43.8891
A_grandidieri,AdBefa_16,-22.0661,43.8924
A_grandidieri,AdBefa_17,-22.0663,43.884
A_grandidieri,AdBefa_18,-22.0643,43.8898
A_grandidieri,AdBefa_19,-22.054,43.894
A_grandidieri,AdBefa_20,-22.0552,43.8883
A_grandidieri,AdBefa_21,-22.0681,43.8917
A_grandidieri,AdBefa_22,-22.0665,43.8943
A_grandidieri,AdBefa_23,-22.0586,43.893
A_grandidieri,AdBefa_24,-22.0537,43.8883
A_grandidieri,AdBefa_25,-22.0547,43.8837
A_grandidieri,AdBefa_26,-21.7773,43.8262
A_grandidieri,AdBefa_27,-21.7766,43.826
A_grandidieri,AdBefa_28,-21.7767,43.825
A_grandidieri,AdBefa_29,-21.7768,43.8259
A_grandidieri,AdBefa_30,-21.7769,43.8261
A_grandidieri,AdBefa_31,-21.7768,43.8253
A_grandidieri,AdBefa_32,-21.7768,43.8261
A_grandidieri,AdBefa_33,-21.7768,43.8253
A_grandidieri,AdBefa_34,-21.7767,43.8261
A_grandidieri,AdBefa_35,-21.7767,43.825
A_grandidieri,AdBefa_36,-21.9737,43.8916
A_grandidieri,AdBefa_37,-21.7406,43.7968
A_grandidieri,AdBefa_38,-22.0064,43.3394
A_grandidieri,AdBefa_39,-22.0529,43.3004
A_grandidieri,AdBefa_40,-22.0571,43.2918
A_grandidieri,AdBefa_41,-22.0575,43.2911
A_grandidieri,AdBefa_42,-22.0573,43.2901
A_grandidieri,AdBefa_43,-22.0565,43.2911
A_grandidieri,AdBefa_44,-22.0687,43.8963
A_grandidieri,AdBefa_45,-22.0708,43.8919
A_grandidieri,AdBefa_46,-22.0643,43.8898
A_grandidieri,AdBefa_47,-22.061,43.8943
A_grandidieri,AdBefa_48,-22.0599,43.8891
A_grandidieri,AdBefa_49,-22.1276,43.2769
A_grandidieri,AdBefa_50,-21.9737,43.9268
A_grandidieri,AdBefa_51,-21.7408,43.7804
A_grandidieri,AdBefa_52,-22.0067,43.3394
A_grandidieri,AdBefa_53,-22.053,43.3003
